日期,浦发银行,上海机场,民生银行,中国石化,Fetching...,三一重工,招商银行,保利地产,Fetching...,上汽集团,复星医药,恒瑞医药,Fetching...,Fetching...,贵州茅台,山东黄金,Fetching...,Fetching...,Fetching...,海通证券,Fetching...,Fetching...,中国国航,兴业银行,中国铁建,Fetching...,Fetching...,中国中铁,Fetching...,Fetching...,中国人寿,中国建筑,华泰证券,中国中车,Fetching...,中国国旅,建设银行,Fetching...,中国重工
2011/03/31,9.8135,5.3815,11.8445,10.3902,5.4551,4.3610,8.4674,8.9588,3.0440,13.3899,4.4819,2.1980,4.1597,1.5619,3.1458,1.7357,4.4389,7.4822,1.4944,4.7428,2.4517,7.3465,8.7746,10.7651,5.0928,4.7445,12.2368,8.7193,10.6419,4.5550,5.6990,12.0235,4.3705,3.8018,6.9182,2.4653,10.8672,11.8003,1.3740
2011/04/29,10.3209,5.1426,11.9717,11.0140,9.2232,5.6956,9.1892,9.3223,2.1974,15.3930,4.5637,2.3466,5.0335,0.4337,3.4793,2.0204,5.8362,8.0294,1.7662,5.0416,2.4899,7.2077,8.4562,11.2397,5.5174,4.8258,12.5442,8.8580,11.1928,4.4627,5.5068,13.3790,4.4300,4.9146,7.2745,2.3589,11.2913,12.4749,1.4892
2011/05/31,10.6337,5.9320,12.1495,11.8066,9.2886,6.2177,9.5525,10.0349,2.2474,16.9462,4.4657,2.3519,5.6432,0.3708,3.1124,2.3113,6.1659,8.6761,1.9605,5.4089,2.9438,7.8996,9.8700,12.8494,6.0953,5.1745,12.9580,9.3814,11.1928,4.8947,5.8438,14.2352,4.7095,5.1292,7.7370,2.6589,11.6721,12.5870,2.5157
2011/06/30,11.5215,6.1915,12.8492,11.5627,9.1253,5.7903,10.2055,8.5739,2.4443,14.9659,4.4945,2.4116,5.0370,0.2776,2.9832,2.3087,5.2952,8.1328,1.9498,5.4328,3.0817,7.4330,9.7877,13.5262,6.1558,5.0422,13.4725,9.7576,11.4437,4.8334,5.9591,13.2462,4.8354,4.7834,7.8223,2.7096,11.9084,13.3887,2.0669
2011/07/29,12.0608,6.0590,13.5342,12.2472,9.6491,6.1122,10.7591,8.9997,2.5064,16.5074,4.5531,2.2238,5.2502,0.2124,2.7899,2.6154,5.8868,8.9493,1.9787,5.7517,2.7278,7.5457,9.4335,13.6477,7.0669,5.4694,14.1066,11.1236,12.0092,5.1756,6.3090,14.6654,5.1614,5.8619,7.9761,2.4088,12.4899,13.6495,2.1447
2011/08/31,13.2764,6.2718,14.2606,12.9666,9.9665,7.6294,12.1893,10.0287,3.6809,18.7249,6.8802,2.4188,6.3028,0.0196,3.2433,2.6039,8.9956,11.4998,3.9205,6.4649,3.9799,8.6559,10.1062,15.3070,7.7243,6.5349,15.3414,11.1926,13.1933,5.8802,6.3897,15.9165,5.5242,7.2512,8.5193,2.6046,13.6992,14.9800,3.7198
2011/09/30,14.4423,7.0052,15.4748,13.7712,10.7815,8.5506,13.0600,11.9043,3.5012,18.1039,7.6161,2.5886,6.7425,0.0070,3.6547,3.2142,11.6054,14.0553,4.3935,6.5793,4.3365,9.2059,11.8678,16.4684,8.4362,7.9287,16.3002,12.1189,13.7237,6.5894,6.9055,16.4816,5.7239,8.1998,8.5279,3.0798,14.2907,15.7684,4.2611
2011/10/31,14.1462,6.5281,16.0427,13.0539,8.2667,8.3437,12.8590,10.7429,4.0519,18.4910,7.4777,2.7305,8.0674,10.1837,3.7071,3.7814,11.5283,13.3077,4.8917,5.1652,5.0012,9.1813,10.4316,16.5623,12.4621,6.8672,16.4807,9.5783,13.4111,6.3392,5.4202,18.4752,4.0753,7.0090,8.6929,3.0839,13.5759,15.2864,4.8801
2011/11/30,15.3278,6.4374,16.9001,13.1274,9.1730,10.1148,13.8800,12.0260,4.1985,22.3313,7.8780,2.5453,9.1459,10.1165,3.6039,4.0053,14.2583,16.1348,4.3074,5.9422,4.7284,9.7563,12.1702,18.0705,13.5583,7.5332,17.2882,10.4857,13.8272,6.9197,5.2874,20.2261,4.7185,7.5461,9.0789,3.0192,13.9522,15.9234,5.1314
2011/12/30,15.3459,6.8161,16.6419,12.9812,10.1460,9.9938,13.1082,11.0760,4.2065,17.9122,8.6159,2.6767,9.3870,11.4591,3.9164,5.1213,14.8505,15.3642,5.5094,6.3432,5.1334,9.7794,13.0682,17.5942,15.4543,7.7126,17.3268,11.8589,13.6642,6.5306,5.1345,21.2687,5.4667,8.8706,8.8179,3.2920,14.4132,15.7052,6.3867
2012/01/31,14.1308,6.6743,15.2680,12.0109,9.2159,8.8193,12.3000,10.5485,4.5169,16.7845,8.5261,3.0309,8.8582,9.8352,4.0611,4.1684,13.3800,14.8971,5.3290,5.6224,5.1309,9.2258,12.2418,15.8932,14.4265,6.9281,16.0380,11.4940,13.4710,5.9711,4.8228,20.1602,5.1320,8.3499,8.4120,3.4917,13.7182,15.2864,5.8909
2012/02/29,13.6568,6.3887,14.8742,12.2316,8.3489,8.5955,12.0897,9.9783,4.5076,16.0607,7.9632,2.9426,8.1598,9.8730,3.7026,3.8617,12.9549,13.0794,5.6339,5.2459,4.9858,8.9783,11.8751,15.3934,13.1622,6.5071,15.4629,10.8277,13.0757,5.9711,4.8460,18.9272,4.7605,7.7910,8.1641,3.1934,13.4090,14.9379,5.3943
2012/03/30,16.4221,6.4876,16.9808,12.3300,9.8715,10.0473,14.0702,9.8104,4.6709,21.3992,7.8785,3.1893,8.4758,10.0555,3.8436,4.2490,14.1401,13.3336,6.7348,4.4272,5.2007,10.1118,10.4184,17.8159,16.1328,7.7984,17.4341,12.1977,13.7903,5.0593,4.0013,20.2924,4.8690,7.4205,8.2328,3.3810,14.0316,15.6660,5.8174
2012/04/27,15.5844,6.5127,16.7072,11.0214,8.8008,8.7247,13.7243,9.8968,5.4850,20.6339,7.7196,3.2728,7.9979,9.4231,4.4560,4.3117,11.6972,12.6734,6.6611,3.5090,5.9765,9.6305,7.7441,18.5894,13.6775,7.0073,16.7923,12.4501,13.6551,4.4932,3.1406,19.4016,2.7569,6.8141,8.2099,4.1161,14.1488,15.7101,5.0038
2012/05/31,17.8575,6.4628,17.4416,11.8464,7.9815,8.3499,15.4855,9.0769,5.7927,21.2241,7.6739,3.0721,7.2092,8.3978,4.2279,4.4148,11.4034,11.6026,5.3103,3.1527,5.8594,10.1556,7.8680,19.9561,13.4027,7.3699,18.7225,10.9747,14.6517,3.0441,3.2813,19.5171,2.4605,6.9385,8.6269,4.3893,15.4840,15.8138,5.1565
2012/06/29,19.2632,6.6251,18.5481,12.5609,8.7019,8.9617,16.5349,9.0982,6.3844,23.3480,7.7930,2.7950,8.1597,8.0497,4.1842,4.6124,13.7887,12.0679,5.5990,3.4211,6.3975,11.7503,7.9960,20.4942,13.4931,6.7495,19.0112,11.7861,15.6529,2.9096,3.1217,19.6340,2.7464,7.5014,9.0082,4.2182,16.5531,16.9915,5.8619
2012/07/31,20.4452,6.7308,18.4863,13.0799,8.9939,10.4741,18.2017,9.0503,6.6713,26.0658,7.3375,2.8008,8.3154,8.3978,4.0604,4.5215,14.1418,12.6508,5.8438,3.4426,7.0033,11.9147,8.1281,21.3153,12.8300,6.9784,19.7057,11.9724,16.4877,2.9753,3.0468,21.0184,3.0743,8.2030,9.2014,4.2272,17.5121,17.5516,6.5709
2012/08/31,22.3385,7.1486,19.9566,11.1744,10.5415,11.2701,18.8066,11.5434,6.2608,30.8282,6.0200,2.7907,8.7034,17.0078,5.0111,4.9172,12.6232,14.4423,4.3680,3.9002,5.5355,12.9500,7.6030,22.9928,14.2634,8.8154,17.3025,13.4409,16.6449,3.0782,3.0061,22.1839,3.6439,8.0620,8.8152,4.5094,18.2062,17.4205,5.5367
2012/09/28,23.0347,7.2576,21.0869,11.2677,9.1378,11.5871,18.6586,10.0951,6.4135,25.8420,6.1665,2.7650,7.8984,15.9674,4.4803,3.9519,10.2691,13.3206,4.2539,3.3628,5.2289,12.0721,7.3892,23.5671,13.2357,8.1659,17.5462,13.1209,16.9556,2.9762,2.8375,21.8949,3.2357,7.8266,8.8453,4.3278,18.3891,17.9366,5.6067
2012/10/31,24.0031,7.5780,21.2063,10.3751,10.1535,10.7514,19.5538,10.6355,7.2280,27.3393,6.3989,2.9110,8.4709,9.1374,5.1629,3.9950,7.5479,14.0968,5.1664,3.5098,5.1080,11.9114,6.2495,24.8588,12.9346,9.0279,18.1586,13.7385,17.2495,2.9021,1.8762,22.6037,3.5637,7.1885,8.2226,3.9891,18.2802,18.4305,6.0208
2012/11/30,24.1639,7.7060,20.2960,10.7370,11.0462,11.8463,19.6709,10.3016,8.0944,25.1825,7.0575,3.1398,8.9274,8.6862,5.9118,4.0254,7.5479,14.3495,5.5103,3.9491,5.5731,12.6075,6.7860,24.3483,12.0467,9.6021,18.1157,13.0180,16.9827,2.9394,1.8454,22.0241,4.3478,6.7223,8.4265,4.6974,18.1048,18.2302,6.7080
2012/12/31,18.1717,6.9577,16.2420,9.3406,8.2763,9.1168,14.3347,8.6882,7.3312,20.0860,6.2098,2.9061,7.4290,6.7293,6.1095,3.8882,6.7419,11.9508,5.1437,3.0475,5.0406,10.8072,5.2704,18.4691,11.0616,7.7343,15.5120,12.2472,15.8778,2.1948,1.5220,17.6193,3.3673,6.4784,7.8951,4.4284,16.4124,17.2313,5.6673
2013/01/31,15.7023,6.5183,12.3823,9.1424,7.2841,8.3881,13.7834,8.9380,7.1276,20.9903,5.9489,2.6792,6.9902,7.3149,7.1381,3.9715,6.2101,11.4255,5.7442,2.6250,3.6952,11.1593,5.3058,13.1411,11.1375,7.2643,14.1906,11.7080,14.9629,2.2809,1.5803,18.8261,3.1458,6.6253,7.7076,4.3507,15.1906,16.1267,5.4723
2013/02/28,16.2986,6.5627,12.3226,8.6564,7.5476,8.1644,14.8197,9.2168,7.2077,21.0402,5.6155,2.6548,6.7111,7.3860,7.2972,4.2033,6.4151,12.1016,5.2590,2.4970,3.4339,11.9373,5.6138,13.1742,11.4924,7.4418,15.2345,12.1275,15.6382,2.4422,1.7233,17.6646,2.9703,6.7083,7.8864,4.1499,16.0291,16.7161,4.9877
2013/03/29,18.1578,6.6250,14.0094,10.0224,3.2122,9.5875,16.6128,12.1773,9.3893,20.5470,6.7846,2.6026,7.6779,8.6855,7.9908,4.5099,7.1522,12.7061,4.1676,3.3379,2.9884,12.8595,7.4699,15.1313,13.8620,8.0899,16.7169,13.4700,16.8572,3.0951,2.3254,20.3903,3.4736,8.5949,8.2126,3.6819,16.9077,17.8805,5.5057
2013/04/26,18.6173,7.0604,14.4523,11.4571,3.2502,9.8625,17.2691,12.0369,10.4474,20.1072,6.9407,3.1256,8.4970,10.3012,8.1117,4.7354,6.6442,12.9454,3.8002,3.5351,3.2378,13.6691,7.9294,16.3266,13.6732,8.4882,17.5415,13.5183,16.8561,3.9611,3.3222,22.0704,3.3412,8.8325,8.1939,4.3508,16.6532,18.5880,5.3706
2013/05/31,18.0899,6.7803,13.5681,11.4401,3.1076,6.7567,15.9203,11.2260,9.9195,19.1681,6.5282,3.0398,8.9699,7.8419,7.1606,4.7354,6.9233,13.0883,2.8162,3.1264,3.4517,13.7389,7.8099,15.9920,14.3746,8.9664,17.2435,14.2663,16.8410,3.9930,3.3462,21.3028,3.0763,7.3698,8.1554,4.7839,16.8081,18.0839,4.9785
2013/06/28,22.8746,7.7587,16.5603,14.1896,3.9849,8.3132,18.6377,14.1260,11.9543,22.6796,7.7553,3.2855,9.8602,8.1359,7.3366,4.7354,8.7447,15.2117,2.7244,4.0364,2.8487,16.6100,9.7808,20.0739,17.5576,10.2175,19.9551,16.6635,17.5113,4.6648,4.0673,24.5601,3.9961,9.0075,9.1307,5.2983,19.4407,19.6854,4.9785
2013/07/31,24.0969,7.5068,17.1403,13.5417,3.7904,9.0877,20.3960,13.7378,11.8404,24.4769,7.1108,2.5891,11.0266,7.9598,8.3759,7.0799,8.0916,14.6349,2.7024,3.5990,2.5555,17.5858,10.7996,21.8169,15.1732,11.0711,21.6003,14.5731,18.0962,4.5478,4.1992,25.0192,3.7715,8.0865,8.5996,4.6347,18.8063,20.0554,5.0455
2013/08/30,21.7939,6.0762,16.5510,14.1948,3.4319,8.6471,20.9394,13.9625,12.9260,22.3446,8.4385,2.8021,10.2558,7.3832,8.3621,6.1748,8.3035,13.4834,2.8812,3.4880,2.5270,16.7368,9.8734,19.5349,15.8926,11.2315,21.2751,15.2854,18.6214,5.1080,4.5588,26.6850,3.8300,7.6249,9.3051,3.7368,19.4883,20.9419,5.0455
2013/09/30,19.4180,6.4055,15.6334,14.0989,3.0801,5.9723,17.9729,14.7539,12.7683,21.5684,7.0169,2.4662,10.6534,8.3652,10.1186,5.5096,8.4146,12.9975,2.7620,3.2287,2.9649,16.6465,10.1422,18.5730,16.8085,10.9672,19.4940,16.0133,18.8144,5.0295,4.5753,26.6021,3.6715,7.8004,9.2932,3.5428,19.2617,19.9626,2.6895
2013/10/31,19.7608,7.0743,16.9373,14.7549,3.9172,5.4880,18.4500,15.4365,13.6041,20.9917,5.5532,2.8993,10.4422,8.3861,10.5032,5.0051,9.8942,12.3827,3.0132,4.0274,3.4266,16.8113,9.9233,18.6405,16.9191,11.9287,20.1568,16.6336,19.3216,6.5464,6.9574,27.3690,4.4627,6.7019,9.5552,4.3958,19.8075,20.2798,2.9005
2013/11/29,20.4333,6.9430,17.6668,13.9215,3.5984,5.4344,18.1626,16.4945,13.6041,19.5722,5.5021,2.7127,9.1948,9.3844,10.0331,5.2130,8.5480,11.1675,2.5536,3.9966,3.4611,16.2446,9.3312,20.4871,16.0385,10.5683,20.4002,15.9638,19.4233,5.7335,6.2050,27.5359,4.2158,5.9777,9.4706,4.5229,19.3553,20.3519,2.6393
2013/12/31,21.6468,7.3114,19.6578,14.8537,3.6407,6.0692,18.1959,17.7941,14.5788,21.2886,4.8842,2.4199,8.8128,9.7416,11.0538,5.9655,9.0016,9.7714,2.5258,4.1519,3.6063,17.3638,9.8982,21.6185,18.3981,10.5252,21.9940,17.7507,20.6169,6.0553,6.4469,28.7636,4.3382,6.5146,9.7163,4.5268,20.4774,21.8278,2.9263
2014/01/30,22.2605,7.8427,20.6755,14.9203,4.0085,6.5597,19.1268,18.8933,15.5993,23.1911,5.3211,2.4528,9.2227,10.0547,10.7344,6.2405,9.6198,8.9963,2.3732,4.5675,3.9756,19.8480,10.4820,23.4451,20.9945,11.2217,22.3431,19.7394,21.5943,6.8543,7.1095,30.2066,4.5946,7.6977,9.9354,4.6950,21.5168,22.7668,2.7444
2014/02/28,22.9101,8.1606,20.1538,12.3919,4.2861,6.7764,19.9550,21.7483,15.8683,23.7025,4.3915,2.5452,10.4124,10.7690,9.4593,5.4592,10.1305,10.4407,2.5065,4.9009,4.0130,19.9055,10.5956,24.0364,21.4645,11.4082,22.2841,19.9882,22.0469,6.9736,7.0428,32.0276,4.8466,7.8269,9.7416,4.1641,21.9628,22.7668,2.7391
2014/03/31,22.7233,8.3518,19.9195,12.1737,4.5756,7.0080,20.8924,19.2906,15.8683,23.3025,5.3385,2.7451,10.4422,7.0787,9.9404,6.1473,11.3309,11.7329,2.4911,4.8338,3.9334,20.2517,8.1533,23.0265,20.1464,12.1125,22.2508,18.9210,21.6916,6.5617,6.5881,31.0370,5.1280,8.1510,10.2252,4.7514,21.5113,22.6301,3.0434
2014/04/30,23.6260,8.2810,20.1243,11.7732,4.5674,5.6762,21.2255,22.1138,17.3555,22.8666,5.6483,2.9699,10.4899,8.8451,9.4891,2.7747,12.6540,13.7771,2.8693,4.5231,5.0120,19.4168,8.1052,22.6582,20.0339,12.8580,23.0365,19.5269,22.1391,7.0358,5.7616,33.9353,5.3242,8.8324,10.1096,4.7406,22.3557,23.3113,3.4251
2014/05/30,24.1197,8.2189,21.2588,11.5886,4.5956,5.7089,20.9746,22.4368,17.1399,22.7413,5.4000,2.7800,10.2533,8.4052,10.1493,2.8805,13.1893,14.0517,3.0165,4.5769,5.4770,19.2677,8.1793,23.4419,19.6296,12.6194,22.4319,19.1455,21.3928,6.8387,5.6011,33.7106,5.5216,8.9161,10.0032,4.8823,21.9674,22.7001,3.4405
2014/06/30,25.5056,8.4929,21.2531,11.2147,4.5395,5.9014,20.7902,22.7083,17.0868,21.7009,5.2930,2.7154,11.3963,8.9295,9.9571,2.8768,13.6844,14.3278,2.9367,4.6219,5.6143,18.9761,8.1545,22.9744,18.9909,12.7926,22.0272,18.9971,22.4654,6.4505,5.7616,36.1014,5.7419,8.3613,10.0828,4.6961,21.4355,23.7684,3.1693
2014/07/31,23.5536,7.9969,19.8468,11.3221,3.9531,5.2736,19.2314,18.7409,15.6347,20.3820,5.7056,2.7104,9.9406,8.1699,8.8208,2.6908,11.9710,11.7153,3.6916,4.2122,4.6708,17.9514,7.4316,20.8161,17.2339,11.2789,18.5795,16.9009,21.1542,5.7177,5.1760,32.4223,5.0443,7.2497,9.4793,4.5960,21.3322,22.3651,3.0012
2014/08/29,25.2281,8.2615,21.5305,11.2354,5.3030,5.4177,20.1602,20.3828,15.9242,20.4259,5.4768,2.7837,9.9449,10.7019,8.8593,1.9615,13.9691,12.7259,3.5196,4.7981,4.6673,17.8301,6.3494,22.3288,17.2000,11.9211,20.7089,17.4422,22.4424,6.1989,6.4407,34.8209,5.2314,8.5155,9.9530,4.1868,22.0220,23.1039,2.9504
2014/09/30,24.5036,7.4386,21.5995,11.7229,5.1318,3.7761,21.3693,20.7854,15.3904,19.1267,5.3042,2.5419,9.5772,10.8631,8.6461,1.9615,14.0423,12.8387,3.3282,4.5657,4.7393,17.2343,5.6810,23.3249,16.6933,12.2555,20.2262,16.0374,21.9974,6.1446,6.1964,32.2530,4.8069,8.2888,10.0808,4.1437,22.2229,22.9327,2.2757
2014/10/31,24.3665,7.1247,21.2590,11.3744,5.6997,3.5034,21.3566,21.6069,16.2254,19.5011,5.7382,2.5534,8.9538,10.7464,8.7624,2.4640,14.0607,13.1104,3.6750,5.4901,5.7848,17.0339,4.5981,22.5965,13.7298,13.2892,19.9436,12.4148,21.6123,5.6927,6.3272,30.8123,5.2066,8.9099,9.9444,4.2476,21.9072,22.3872,2.0838
2014/11/28,20.0434,6.3786,18.6778,11.1212,4.3821,3.1888,18.9837,17.3105,14.9868,17.6082,5.4784,2.7882,8.9589,7.7938,8.8096,2.2394,13.3113,12.6660,3.9014,4.0398,5.6575,16.1391,3.6163,20.2140,10.1556,11.5139,16.4703,10.0977,19.5794,4.7132,4.5242,25.6523,3.2352,8.9099,9.5427,3.8083,19.4834,18.8240,1.9979
2014/12/31,15.8405,5.6504,12.5417,9.2362,2.2311,2.0992,13.9031,11.5190,11.8986,16.2222,5.2758,2.6536,7.3300,6.3369,7.2402,2.0544,10.9722,11.6151,3.8740,2.4279,4.8473,12.7188,2.5923,14.8726,5.8032,7.1148,12.9340,5.5266,16.2425,3.5196,2.9941,14.7290,2.2278,8.0999,7.2122,3.6076,13.6065,15.0501,1.3557
2015/01/30,17.1761,5.4370,14.4090,9.8160,2.7148,2.5737,16.0845,11.8927,13.0306,15.3771,4.9763,2.4414,7.3502,5.8635,7.7486,1.5899,12.2481,10.8058,3.2405,2.9399,5.0834,13.5467,2.6429,16.9591,6.7498,7.1427,14.1174,6.3142,17.3254,3.4027,2.8339,18.2358,2.5848,4.1144,6.6979,3.4768,15.6533,13.7926,1.4401
2015/02/27,17.1052,5.2540,14.7502,9.1497,2.5613,2.4589,15.6906,12.2266,10.4245,14.2976,4.9153,2.4626,7.2965,5.7179,7.1860,1.5917,11.9167,10.5468,3.1954,2.6845,4.9142,13.8744,2.5726,17.2330,6.4782,7.0421,14.4657,5.9904,17.0338,3.3038,2.7295,16.7280,2.3722,4.2638,6.8269,3.1749,16.0935,14.6824,1.3935
2015/03/31,16.0794,4.8373,13.7235,6.3023,3.2805,2.0681,14.2737,11.5392,10.3220,14.0101,4.1359,2.2671,6.1691,5.1888,7.0060,2.2367,9.5737,8.5028,2.9689,3.6185,4.4985,11.6054,3.4443,13.3659,5.0453,6.7023,13.9156,3.9687,15.9506,3.6605,3.1048,13.9800,2.6924,2.8278,5.5446,3.1187,14.9664,13.7425,1.2436
2015/04/30,14.1992,4.4469,12.7101,3.7034,3.7973,-0.0711,12.7060,9.2950,5.8683,12.9663,3.9354,2.0179,5.4694,4.6546,5.8827,1.4882,8.5079,8.2145,3.1740,4.0891,3.9282,9.1644,3.5444,13.2459,3.7955,7.0799,12.9072,2.4010,14.3807,4.1101,3.4936,10.5184,3.5490,1.5956,3.6516,3.5698,13.3982,12.4764,0.6441
2015/05/29,15.0575,4.0970,13.4712,4.1708,4.2962,-0.0567,12.8115,11.5187,6.5112,14.5992,3.1786,1.8333,5.0230,5.4248,5.6240,1.6905,7.9090,7.5876,2.3320,4.0938,3.5539,10.1227,4.1336,14.2914,4.6201,7.3467,13.0965,2.8568,15.3451,4.4404,3.7711,12.3148,3.5380,1.4679,4.1020,3.5698,14.4078,13.9459,0.5307
2015/06/30,15.1285,3.8760,12.7404,4.2594,4.4084,-0.0761,12.3667,12.1629,7.6215,15.4907,3.7409,1.9868,5.5984,4.7425,5.7589,1.9540,9.4282,7.3424,2.2411,4.4720,3.7890,9.9819,3.0114,14.9045,6.1365,7.6605,10.8396,3.7375,14.7347,4.7420,4.2455,13.7967,3.4944,1.3935,4.3156,2.7654,12.8720,12.3488,0.6336
2015/07/31,17.0259,4.3478,13.9318,5.0119,5.7062,-0.0970,13.3817,15.0979,9.0252,18.1770,4.1897,1.9696,6.3345,4.8738,6.5217,2.7611,10.8378,9.9596,2.6440,5.6681,4.1490,12.2354,3.9366,16.5446,5.2909,9.4052,13.0582,3.6307,16.1075,5.7429,4.7085,16.4728,4.1749,1.6635,4.4090,2.9572,15.1950,13.5698,0.7056
2015/08/31,17.4227,4.7848,14.9508,7.8021,11.1008,-0.5906,13.6510,17.6497,8.8176,20.3894,5.2722,2.1578,7.0092,6.2743,6.9143,2.3195,10.5148,10.8919,3.4482,11.4714,4.5926,11.7031,8.0126,17.9363,6.4631,11.1931,14.0885,4.0726,18.5712,7.6982,6.3547,19.4518,9.3435,2.6695,4.4964,3.5712,17.7571,15.7326,0.3698
