日期,Fetching...,上海机场,民生银行,中国石化,Fetching...,三一重工,招商银行,保利地产,中国联通,上汽集团,Fetching...,恒瑞医药,Fetching...,华夏幸福,贵州茅台,山东黄金,Fetching...,海尔智家,三安光电,海通证券,伊利股份,中国神华,中国国航,兴业银行,中国铁建,中国平安,交通银行,中国中铁,Fetching...,中国太保,中国人寿,中国建筑,Fetching...,中国中车,中国石油,中国国旅,Fetching...,中国银行,中国重工
2011/05/31,23.2700,2.5200,5.7900,4.7300,1.9100,21.0200,6.4475,2.3700,0.0700,6.5800,2.9100,7.2400,7.5200,-0.3300,9.7400,10.7700,6.0700,7.2700,3.3000,2.6300,3.3800,5.1500,3.9400,5.5200,2.9200,5.0000,5.7900,2.4700,6.3600,4.2000,3.7800,2.8200,2.0700,4.8000,3.9000,2.8000,6.5475,5.0575,3.5400
2011/06/30,23.2700,2.5200,5.7900,4.7300,1.9100,21.0200,6.4475,2.3700,0.0700,6.5800,2.9100,7.2400,7.5200,-0.3300,9.7400,10.7700,6.0700,7.2700,3.3000,2.6300,3.3800,5.1500,3.9400,5.5200,2.9200,5.0000,5.7900,2.4700,6.3600,4.2000,3.7800,2.8200,2.0700,4.8000,3.9000,2.8000,6.5475,5.0575,3.5400
2011/07/29,23.2700,2.5200,5.7900,4.7300,1.9100,21.0200,6.4475,2.3700,0.0700,6.5800,2.9100,7.2400,7.5200,-0.3300,9.7400,24.1200,6.0700,7.2700,3.3000,2.6300,3.3800,5.1500,3.9400,5.5200,2.9200,5.0000,5.7900,2.4700,6.3600,4.2000,3.7800,2.8200,2.0700,4.8000,3.9000,2.8000,6.5475,5.0575,3.5400
2011/08/31,9.9600,5.0100,12.5400,9.1000,4.2500,41.8100,13.3100,9.1300,1.2200,12.2700,9.7100,12.9800,15.3000,-0.1800,23.5300,24.1200,15.7700,18.6600,9.0600,4.9200,17.6300,10.8600,9.4000,12.5500,6.1700,10.9000,11.1900,3.6900,12.5600,7.2000,6.2200,8.1100,3.4200,10.2000,6.8000,7.8200,12.4900,9.9350,8.8800
2011/09/30,9.9600,5.0100,12.5400,9.1000,4.2500,41.8100,13.3100,9.1300,1.2200,12.2700,9.7100,12.9800,15.3000,-0.1800,23.5300,24.1200,15.7700,18.6600,9.0600,4.9200,17.6300,10.8600,9.4000,12.5500,6.1700,10.9000,11.1900,3.6900,12.5600,7.2000,6.2200,8.1100,3.4200,10.2000,6.8000,7.8200,12.4900,9.9350,8.8800
2011/10/31,9.9600,7.7800,18.7875,13.3600,4.9200,51.1000,19.7200,11.2500,1.9800,18.5500,11.6400,18.1800,23.3300,58.4200,31.3400,36.4100,23.3900,27.1600,9.0600,6.0800,28.7800,16.4600,17.6600,18.8700,8.3700,12.6400,15.9000,5.3500,18.8025,9.0000,8.6000,8.9000,3.9900,13.8300,10.6000,12.7900,18.6150,19.1500,11.5700
2011/11/30,9.9600,7.7800,18.7875,13.3600,4.9200,51.1000,19.7200,11.2500,1.9800,18.5500,11.6400,18.1800,23.3300,58.4200,31.3400,36.4100,23.3900,27.1600,9.0600,6.0800,28.7800,16.4600,17.6600,18.8700,8.3700,12.6400,15.9000,5.3500,18.8025,9.0000,8.6000,8.9000,3.9900,13.8300,10.6000,12.7900,18.6150,19.1500,11.5700
2011/12/30,9.9600,7.7800,18.7875,13.3600,4.9200,51.1000,19.7200,11.2500,1.9800,18.5500,11.6400,18.1800,23.3300,58.4200,31.3400,36.4100,23.3900,27.1600,9.0600,6.0800,28.7800,16.4600,17.6600,18.8700,8.3700,12.6400,15.9000,5.3500,18.8025,9.0000,8.6000,8.9000,3.9900,13.8300,10.6000,12.7900,18.6150,19.1500,11.5700
2012/01/31,9.9600,7.7800,18.7875,13.3600,4.9200,51.1000,19.7200,11.2500,1.9800,18.5500,11.6400,18.1800,23.3300,58.4200,31.3400,36.4100,23.3900,27.1600,9.0600,6.0800,28.7800,16.4600,17.6600,18.8700,8.3700,12.6400,15.9000,5.3500,18.8025,9.0000,8.6000,8.9000,3.9900,13.8300,10.6000,12.7900,18.6150,19.1500,11.5700
2012/02/29,9.9600,10.1700,18.7875,13.3600,4.9200,51.1000,19.7200,11.2500,1.9800,18.5500,11.6400,18.1800,23.3300,66.4900,31.3400,36.4100,23.3900,27.1600,17.8300,6.0800,35.3300,16.4600,17.6600,18.8700,8.3700,12.6400,15.9000,5.3500,18.8025,9.0000,8.6000,8.9000,3.9900,13.8300,10.6000,12.7900,18.6150,19.1500,11.5700
2012/03/30,20.0700,10.1700,23.9500,15.9300,17.0000,55.9600,24.1700,11.2500,1.9900,21.3700,13.0400,23.1100,27.8700,66.4900,31.3400,40.1000,29.1000,27.1600,17.8300,6.9300,35.3300,21.0800,16.9900,24.6700,12.9800,16.0000,20.4900,5.3500,23.4400,10.6200,9.1600,8.9000,3.9900,13.8300,13.6000,12.7900,22.5100,18.2700,11.5700
2012/04/27,20.0700,2.3700,6.8300,2.6600,17.0000,55.9600,24.1700,1.5100,0.4700,21.3700,13.0400,6.9000,5.9000,0.5500,11.2100,10.3200,2.7500,7.1800,3.6300,6.9300,6.6000,21.0800,0.5100,6.9300,1.8500,16.0000,20.4900,9.6100,23.4400,10.6200,2.8400,2.8300,1.4400,3.9000,3.8000,6.9100,22.5100,4.9525,2.4100
2012/05/31,5.1600,2.3700,6.8300,2.6600,0.9900,13.3100,6.8000,1.5100,0.4700,5.3100,3.3900,6.9000,5.9000,0.5500,11.2100,10.3200,2.7500,7.1800,3.6300,2.3000,6.6000,4.5000,0.5100,6.9300,1.8500,4.5000,5.6800,1.2600,6.2000,0.8000,2.8400,2.8300,1.4400,3.9000,3.8000,6.9100,6.1525,4.9525,2.4100
2012/06/29,5.1600,2.3700,6.8300,2.6600,0.9900,13.3100,6.8000,1.5100,0.4700,5.3100,3.3900,6.9000,5.9000,0.5500,11.2100,10.3200,2.7500,7.1800,3.6300,2.3000,6.6000,4.5000,0.5100,6.9300,1.8500,4.5000,5.6800,1.2600,6.2000,0.8000,2.8400,2.8300,1.4400,3.9000,3.8000,6.9100,6.1525,4.9525,2.4100
2012/07/31,5.1600,2.3700,6.8300,2.6600,0.9900,13.3100,6.8000,1.5100,0.4700,5.3100,3.3900,6.9000,5.9000,0.5500,11.2100,10.3200,2.7500,7.1800,3.6300,2.3000,6.6000,4.5000,0.5100,6.9300,1.8500,4.5000,5.6800,1.2600,6.2000,0.8000,2.8400,2.8300,1.4400,3.9000,3.8000,6.9100,6.1525,4.9525,2.4100
2012/08/31,10.8600,4.8000,13.4400,4.8900,2.5600,23.3300,13.5000,6.9600,1.6200,10.0800,7.0000,12.4600,13.4300,37.7400,24.5600,22.3100,6.3800,20.4900,8.2000,4.0700,12.1500,11.0200,2.2600,13.8100,4.8600,10.0000,10.8200,3.2800,12.1550,3.3000,4.7100,7.7100,3.1300,6.5800,6.0000,11.4500,12.2800,9.4950,6.2200
2012/09/28,10.8600,4.8000,13.4400,4.8900,2.5600,23.3300,13.5000,6.9600,1.6200,10.0800,7.0000,12.4600,13.4300,37.7400,24.5600,22.3100,6.3800,20.4900,8.2000,4.0700,12.1500,11.0200,2.2600,13.8100,4.8600,10.0000,10.8200,3.2800,12.1550,3.3000,4.7100,7.7100,3.1300,6.5800,6.0000,11.4500,12.2800,9.4950,6.2200
2012/10/31,16.3100,7.4300,19.7400,8.6000,3.3900,27.0400,19.5450,10.4800,2.5700,14.8500,10.9300,17.5800,22.3800,44.6400,36.1600,28.3900,8.6200,29.0700,11.3000,4.6900,21.0800,15.5900,8.7900,20.7800,7.6700,11.5500,14.9200,5.8000,18.1800,4.0000,3.6700,11.3000,3.9700,10.5500,8.4000,15.4400,18.1350,13.9950,8.8500
2012/11/30,16.3100,7.4300,19.7400,8.6000,3.3900,27.0400,19.5450,10.4800,2.5700,14.8500,10.9300,17.5800,22.3800,44.6400,36.1600,28.3900,8.6200,29.0700,11.3000,4.6900,21.0800,15.5900,8.7900,20.7800,7.6700,11.5500,14.9200,5.8000,18.1800,4.0000,3.6700,11.3000,3.9700,10.5500,8.4000,15.4400,18.1350,13.9950,8.8500
2012/12/31,16.3100,7.4300,19.7400,8.6000,3.3900,27.0400,19.5450,10.4800,2.5700,14.8500,10.9300,17.5800,22.3800,44.6400,36.1600,28.3900,8.6200,29.0700,11.3000,4.6900,21.0800,15.5900,8.7900,20.7800,7.6700,11.5500,14.9200,5.8000,18.1800,4.0000,3.6700,11.3000,3.9700,10.5500,8.4000,15.4400,18.1350,13.9950,8.8500
2013/01/31,16.3100,7.4300,19.7400,8.6000,3.3900,27.0400,19.5450,10.4800,2.5700,14.8500,10.9300,17.5800,22.3800,44.6400,36.1600,28.3900,8.6200,29.0700,11.3000,4.6900,21.0800,15.5900,8.7900,20.7800,7.6700,11.5500,14.9200,5.8000,18.1800,4.0000,3.6700,11.3000,3.9700,10.5500,8.4000,15.4400,18.1350,13.9950,8.8500
2013/02/28,16.3100,7.4300,19.7400,8.6000,3.3900,27.0400,19.5450,10.4800,2.5700,14.8500,10.9300,17.5800,22.3800,44.6400,36.1600,28.3900,8.6200,29.0700,11.3000,4.6900,21.0800,15.5900,8.7900,20.7800,7.6700,11.5500,14.9200,5.8000,18.1800,4.0000,3.6700,11.3000,3.9700,10.5500,8.4000,15.4400,18.1350,13.9950,8.8500
2013/03/29,20.9500,10.0300,25.2400,12.8000,4.9000,27.0400,24.7800,21.8400,3.3100,18.5200,14.9700,17.5800,31.0300,51.4200,45.0000,28.3900,13.5000,33.7800,13.9300,5.6300,21.0800,19.9200,10.2000,20.7800,12.4700,13.8000,18.4300,9.7800,23.0200,6.1300,5.3800,11.3000,3.9700,13.3600,11.1000,15.4400,21.9800,18.1000,8.8500
2013/04/26,20.9500,10.0300,6.5000,2.9800,1.1200,27.0400,24.7800,1.7200,0.8700,4.9600,2.5600,6.2500,8.5500,10.3100,10.0000,7.2700,1.9700,6.2900,2.5800,2.4100,21.0800,19.9200,0.4900,6.2600,12.4700,13.8000,4.5550,9.7800,23.0200,2.3000,4.4500,16.5200,1.8100,13.3600,3.3000,19.5600,21.9800,4.7150,1.9100
2013/05/31,4.8900,2.6500,6.5000,2.9800,1.1200,6.6000,6.2775,1.7200,0.8700,4.9600,2.5600,6.2500,8.5500,10.3100,10.0000,7.2700,1.9700,6.2900,2.5800,2.4100,4.4600,4.2700,0.4900,6.2600,2.2200,4.5000,4.5550,1.8700,5.9275,2.3000,4.4500,3.4500,1.8100,2.4400,3.3000,8.1300,6.1300,4.7150,1.9100
2013/06/28,4.8900,2.6500,6.5000,2.9800,1.1200,6.6000,6.2775,1.7200,0.8700,4.9600,2.5600,6.2500,8.5500,10.3100,10.0000,7.2700,1.9700,6.2900,2.5800,2.4100,4.4600,4.2700,0.4900,6.2600,2.2200,4.5000,4.5550,1.8700,5.9275,2.3000,4.4500,3.4500,1.8100,2.4400,3.3000,8.1300,6.1300,4.7150,1.9100
2013/07/31,4.8900,2.6500,6.5000,2.9800,1.1200,6.6000,6.2775,1.7200,0.8700,4.9600,2.5600,6.2500,17.4400,10.3100,10.0000,7.2700,1.9700,6.2900,2.5800,2.4100,4.4600,4.2700,0.4900,6.2600,2.2200,4.5000,4.5550,1.8700,5.9275,2.3000,4.4500,3.4500,1.8100,2.4400,3.3000,8.1300,6.1300,4.7150,1.9100
2013/08/30,10.4500,5.5000,13.0200,5.4900,2.4200,6.6000,12.7300,7.8000,2.4300,9.0700,7.5000,11.6000,17.4400,34.3600,10.0000,7.2700,6.1400,18.2800,7.3800,4.4500,4.4600,9.0700,2.1700,12.0600,2.2200,10.7000,8.7650,1.8700,11.6250,5.6000,7.1100,8.3300,3.6900,4.3900,6.0000,8.1300,11.9500,9.4650,1.9100
2013/09/30,10.4500,5.5000,13.0200,5.4900,2.4200,10.9000,12.7300,7.8000,2.4300,9.0700,7.5000,11.6000,17.4400,34.3600,19.1900,12.0700,6.1400,18.2800,7.3800,4.4500,14.0500,9.0700,2.1700,12.0600,6.3200,10.7000,8.7650,4.3900,11.6250,5.6000,7.1100,8.3300,3.6900,4.3900,6.0000,13.5200,11.9500,9.4650,3.4200
2013/10/31,15.9300,8.9000,18.5625,9.5500,4.2400,12.5000,18.4425,10.5000,3.8000,14.0700,10.1400,16.3000,26.5500,41.3200,29.5500,14.0700,10.6800,27.7000,12.0200,6.1200,19.1000,12.7900,7.6800,18.1500,9.2700,13.6700,12.2250,7.7100,17.2500,8.2000,10.3300,12.6000,5.2700,7.4900,8.7000,15.3900,17.5350,13.9950,6.1100
2013/11/29,15.9300,8.9000,18.5625,9.5500,4.2400,12.5000,18.4425,10.5000,3.8000,14.0700,10.1400,16.3000,26.5500,41.3200,29.5500,14.0700,10.6800,27.7000,12.0200,6.1200,19.1000,12.7900,7.6800,18.1500,9.2700,13.6700,12.2250,7.7100,17.2500,8.2000,10.3300,12.6000,5.2700,7.4900,8.7000,15.3900,17.5350,13.9950,6.1100
2013/12/31,15.9300,8.9000,18.5625,9.5500,4.2400,12.5000,18.4425,10.5000,3.8000,14.0700,10.1400,16.3000,26.5500,41.3200,29.5500,14.0700,10.6800,27.7000,12.0200,6.1200,19.1000,12.7900,7.6800,18.1500,9.2700,13.6700,12.2250,7.7100,17.2500,8.2000,10.3300,12.6000,5.2700,7.4900,8.7000,15.3900,17.5350,13.9950,6.1100
2014/01/30,15.9300,8.9000,18.5625,9.5500,4.2400,12.5000,18.4425,10.5000,3.8000,14.0700,10.1400,16.3000,26.5500,41.3200,29.5500,14.0700,10.6800,27.7000,12.0200,6.1200,19.1000,12.7900,7.6800,18.1500,9.2700,13.6700,12.2250,7.7100,17.2500,8.2000,10.3300,12.6000,5.2700,7.4900,8.7000,15.3900,17.5350,13.9950,6.1100
2014/02/28,15.9300,8.9000,18.5625,9.5500,4.2400,12.5000,18.4425,10.5000,4.6800,14.0700,10.1400,16.3000,26.5500,41.3200,29.5500,14.0700,10.6800,27.7000,12.0200,6.1200,19.1000,12.7900,7.6800,18.1500,9.2700,13.6700,12.2250,7.7100,17.2500,8.2000,10.3300,12.6000,5.2700,7.4900,8.7000,15.3900,17.5350,13.9950,6.1100
2014/03/31,21.5300,11.3600,23.2300,12.2400,6.0200,12.5000,23.1200,10.5000,4.6800,19.0700,12.3000,16.3000,26.5500,41.3200,39.4300,14.0700,18.0500,27.7000,12.0200,6.7000,19.1000,16.8100,6.3000,18.1500,13.5900,16.4000,15.4900,11.3900,21.9200,9.5200,11.2200,12.6000,5.2700,12.0100,11.4000,15.3900,21.2300,18.0400,6.1100
2014/04/30,5.0900,2.9600,6.2000,2.3300,1.4800,3.4000,5.4475,1.5600,1.4600,4.9500,2.6600,5.9600,7.4800,8.9200,8.3200,1.0900,4.3100,5.7000,2.4700,1.9500,6.5200,3.7300,0.1700,6.4500,2.3700,5.7000,4.3600,2.0700,5.5675,3.2000,3.2500,3.8500,2.1700,2.0900,3.0000,5.7000,5.9725,4.7850,1.3500
2014/05/30,5.0900,2.9600,6.2000,2.3300,1.4800,3.4000,5.4475,1.5600,1.4600,4.9500,2.6600,5.9600,7.4800,8.9200,8.3200,1.0900,4.3100,5.7000,2.4700,1.9500,6.5200,3.7300,0.1700,6.4500,2.3700,5.7000,4.3600,2.0700,5.5675,3.2000,3.2500,3.8500,2.1700,2.0900,3.0000,5.7000,5.9725,4.7850,1.3500
2014/06/30,5.0900,2.9600,6.2000,2.3300,1.4800,3.4000,5.4475,1.5600,1.4600,4.9500,2.6600,5.9600,7.4800,8.9200,8.3200,1.0900,4.3100,5.7000,2.4700,1.9500,6.5200,3.7300,0.1700,6.4500,2.3700,5.7000,4.3600,2.0700,5.5675,3.2000,3.2500,3.8500,2.1700,2.0900,3.0000,5.7000,5.9725,4.7850,1.3500
2014/07/31,5.0900,2.9600,6.2000,2.3300,1.4800,3.4000,5.4475,1.5600,1.4600,4.9500,2.6600,5.9600,7.4800,8.9200,8.3200,1.0900,4.3100,5.7000,6.6600,1.9500,6.5200,3.7300,0.1700,6.4500,2.3700,5.7000,4.3600,2.0700,5.5675,3.2000,3.2500,3.8500,2.1700,2.0900,3.0000,5.7000,5.9725,4.7850,1.3500
2014/08/29,10.5200,5.8900,12.1100,5.3700,4.5600,3.4000,5.4475,7.2100,2.9300,9.4000,6.5400,11.2800,13.8600,20.8400,15.6400,3.6200,9.9200,16.0500,6.6600,4.5500,6.5200,7.5900,0.8800,6.4500,2.3700,10.9000,8.3850,2.0700,10.8850,6.6000,7.8900,9.6000,4.0600,5.5000,5.9000,9.0200,5.9725,9.2850,2.3900
2014/09/30,10.5200,5.8900,12.1100,5.3700,4.5600,5.5000,10.7450,7.2100,2.9300,9.4000,6.5400,11.2800,13.8600,20.8400,15.6400,3.6200,9.9200,16.0500,6.6600,4.5500,13.3200,7.5900,0.8800,11.9000,5.9700,10.9000,8.3850,4.5800,10.8850,6.6000,7.8900,9.6000,4.0600,5.5000,5.9000,9.0200,11.4850,9.2850,2.3900
2014/10/31,15.9200,8.9300,17.0325,8.7100,7.0500,6.5000,15.9975,11.3300,4.5700,14.4400,9.4300,16.1800,20.8500,35.8400,23.0200,6.7900,13.8300,24.0100,10.1200,7.7400,20.3500,10.5100,5.6900,17.5400,8.4300,15.6700,11.6850,7.8100,16.1400,8.5000,11.5000,13.6000,7.1000,10.4700,8.2000,12.5700,16.6050,13.5225,3.9100
2014/11/28,15.9200,8.9300,17.0325,8.7100,7.0500,6.5000,15.9975,11.3300,4.5700,14.4400,9.4300,16.1800,20.8500,35.8400,23.0200,6.7900,13.8300,24.0100,10.1200,7.7400,20.3500,10.5100,5.6900,17.5400,8.4300,15.6700,11.6850,7.8100,16.1400,8.5000,11.5000,13.6000,7.1000,10.4700,8.2000,12.5700,16.6050,13.5225,3.9100
2014/12/31,15.9200,8.9300,17.0325,8.7100,7.0500,6.5000,15.9975,11.3300,4.5700,14.4400,9.4300,16.1800,20.8500,35.8400,23.0200,6.7900,13.8300,24.0100,10.1200,7.7400,20.3500,10.5100,5.6900,17.5400,8.4300,15.6700,11.6850,7.8100,16.1400,8.5000,11.5000,13.6000,7.1000,10.4700,8.2000,12.5700,16.6050,13.5225,3.9100
2015/01/30,15.9200,8.9300,17.0325,8.7100,7.0500,6.5000,15.9975,11.3300,4.5700,14.4400,9.4300,16.1800,20.8500,35.8400,23.0200,6.7900,13.8300,24.0100,10.1200,7.7400,20.3500,10.5100,5.6900,17.5400,8.4300,15.6700,11.6850,7.8100,16.1400,8.5000,11.5000,13.6000,7.1000,10.4700,8.2000,12.5700,16.6050,13.5225,3.9100
2015/02/27,15.9200,8.9300,17.0325,8.7100,7.0500,6.5000,15.9975,11.3300,4.5700,14.4400,9.4300,16.1800,20.8500,35.8400,23.0200,6.7900,13.8300,24.0100,10.1200,7.7400,20.3500,10.5100,5.6900,17.5400,8.4300,15.6700,11.6850,7.8100,16.1400,8.5000,11.5000,13.6000,7.1000,10.4700,8.2000,12.5700,16.6050,13.5225,3.9100
2015/03/31,21.0200,11.7700,20.4100,8.1400,12.1800,6.5000,19.2800,21.6500,5.2000,14.4400,13.3800,21.2800,24.1700,42.8300,23.0200,9.4100,18.4700,27.5800,13.8800,11.8800,20.3500,12.9800,6.9800,17.5400,13.2400,18.2500,14.8700,11.2600,19.9600,10.2500,12.8300,13.6000,11.7400,13.7900,9.3000,12.5700,19.7400,17.2800,3.9100
2015/04/30,4.4700,3.3400,5.4100,0.2700,3.7600,0.1300,5.3325,2.0800,1.3500,4.6300,3.1300,6.6700,4.3500,7.6600,7.8500,-0.7500,2.5100,4.3600,3.0800,5.8100,6.7500,1.9300,3.0300,5.8600,2.1700,6.6000,3.9475,2.1300,4.8375,4.1000,4.1900,3.9700,4.7600,2.3700,0.5000,6.2000,5.2575,4.2325,0.6400
2015/05/29,4.4700,3.3400,5.4100,0.2700,3.7600,0.1300,5.3325,2.0800,1.3500,4.6300,3.1300,6.6700,4.3500,7.6600,7.8500,-0.7500,2.5100,4.3600,3.0800,5.8100,6.7500,1.9300,3.0300,5.8600,2.1700,6.6000,3.9475,2.1300,4.8375,4.1000,4.1900,3.9700,4.7600,2.3700,0.5000,6.2000,5.2575,4.2325,0.6400
2015/06/30,4.4700,3.3400,5.4100,0.2700,3.7600,0.1300,5.3325,2.0800,1.3500,4.6300,3.1300,6.6700,4.3500,7.6600,7.8500,-0.7500,2.5100,4.3600,3.0800,5.8100,6.7500,1.9300,3.0300,5.8600,2.1700,6.6000,3.9475,2.1300,4.8375,4.1000,4.1900,3.9700,4.7600,2.3700,0.5000,6.2000,5.2575,4.2325,0.6400
2015/07/31,4.4700,3.3400,5.4100,0.2700,3.7600,0.1300,5.3325,2.0800,1.3500,4.6300,3.1300,6.6700,9.3600,7.6600,7.8500,-0.7500,2.5100,4.3600,3.0800,5.8100,6.7500,1.9300,3.0300,5.8600,2.1700,6.6000,3.9475,2.1300,4.8375,4.1000,4.1900,3.9700,4.7600,2.3700,0.5000,6.2000,5.2575,4.2325,0.6400
2015/08/31,9.3700,6.7600,10.4900,3.8100,11.7900,1.4000,10.2000,7.7900,2.9400,8.5600,7.4800,12.5200,9.3600,26.3600,13.7500,0.5200,6.9000,11.0800,7.6800,12.9700,13.6300,3.9600,6.9700,10.7700,5.5900,11.0000,7.6200,4.6800,9.4300,9.1000,10.4500,8.4500,7.6650,5.1300,2.1000,9.5900,10.0900,8.1550,0.3000
2015/09/30,9.3700,6.7600,10.4900,3.8100,11.7900,1.4000,10.2000,7.7900,2.9400,8.5600,7.4800,12.5200,9.3600,26.3600,13.7500,0.5200,6.9000,11.0800,7.6800,12.9700,13.6300,3.9600,6.9700,10.7700,5.5900,11.0000,7.6200,4.6800,9.4300,9.1000,10.4500,8.4500,7.6650,5.1300,2.1000,9.5900,10.0900,8.1550,0.3000
